auto,fecha,monto_recibido
1030,2019-05-09,120.0
1033,2019-05-09,75.0
1028,2019-05-09,500.0
1027,2019-05-09,271.0
1026,2019-05-09,105.0
1025,2019-05-09,550.0
1029,2019-05-09,350.0
1043,2019-05-10,215.0
1042,2019-05-10,750.0
1041,2019-05-10,70.0
1040,2019-05-10,1205.0
1039,2019-05-10,300.0
1037,2019-05-10,340.0
1036,2019-05-10,750.0
1038,2019-05-10,61.0
1050,2019-05-11,560.0
1052,2019-05-11,25.0
1051,2019-05-11,5.0
1049,2019-05-11,15.0
1048,2019-05-11,1100.0
1047,2019-05-11,300.0
1046,2019-05-11,190.0
1045,2019-05-11,360.0
1044,2019-05-11,500.0
1065,2019-05-13,350.0
1064,2019-05-13,110.0
1062,2019-05-13,50.0
1061,2019-05-13,265.0
1060,2019-05-13,250.0
1059,2019-05-13,1420.0
1063,2019-05-13,130.0
1057,2019-05-13,518.0
1056,2019-05-13,469.0
1055,2019-05-13,420.0
